gene_target,disease,manifestation,role,n_supporting_papers,evidence_tier,n_fulltext_supported,n_fulltext_partial,n_fulltext_not_supported,n_papers_fulltext_read,n_papers_abstract_only,mechanism,study_system,manifestation_in_fulltext_differs,supporting_pmids,paper_access
CDK4/CDK6,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Misactivation of cell cycle at CDK4/6 level in high-grade meningiomas,review,,35936751,35936751:abstract_only
CDKN1A,NF1,Cognition / Behavioral / Learning,modifier,1,abstract only,0,0,0,0,1,p21 checkpoint regulator dysregulated in NF1 mutant tissue,mouse model,,29925695,29925695:abstract_only
CDKN1A,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,p21 checkpoint regulator dysregulated in NF1 mutant tissue,mouse model,,29925695,29925695:abstract_only
CDKN1A,NF1,Pain,modifier,1,abstract only,0,0,0,0,1,p21 checkpoint regulator dysregulated in NF1 mutant tissue,mouse model,,29925695,29925695:abstract_only
CDKN1A,NF2-SWN,Vestibular schwannoma,biomarker,1,abstract only,0,0,0,0,1,p21 levels increase with chemotherapy-induced senescence and growth arrest in vestibular schwannoma cells,cell line,,39647233,39647233:abstract_only
CDKN2A,Not specified,High grade glioma,driver,1,abstract only,0,0,0,1,0,Genomic alteration in glioblastoma,cell line,,30289729,30289729:full_text
CDKN2A,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Sequential loss of NF1 and CDKN2A (p14ARF/p16INK4a inactivation) drives neurofibroma formation and progression toward MPNST.,mouse model,,42310314,42310314:abstract_only
CDKN2A/2B,Not specified,Ependymoma,modifier,1,abstract only,0,0,0,0,1,Deletion associated with poor outcomes and metastases,human tissue,,34812989,34812989:abstract_only
CDKN2A/B,NF1,Malignant peripheral nerve sheath tumor (MPNST),modifier,1,abstract only,0,0,0,0,1,Mutation acquisition drives malignant progression to MPNST,review,,33588442,33588442:abstract_only
CDKN2A/B,Not specified,High grade glioma,driver,1,abstract only,0,0,0,1,0,Homozygous deletion in PDGFRA-mutant glioblastoma cluster,human tissue,,32748499,32748499:full_text
CDKN2B,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Deletion at 9p21.3; recurrent in atypical neurofibromas and MPNSTs,human tissue,,21987445,21987445:abstract_only
CDKN2B,NF1,Other,driver,1,abstract only,0,0,0,0,1,Deletion at 9p21.3; recurrent in atypical neurofibromas and MPNSTs,human tissue,,21987445,21987445:abstract_only
CENPF,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,1,0,Mediator of deregulated survival and mitotic fidelity in MPNST,cell line,,38127282,38127282:full_text
CGAS-STING,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Mutant NF2 suppresses cGAS-STING signaling to evade antitumor immunity,mouse model,,34453890,34453890:abstract_only
CIP2A,NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,0,1,"Inhibits PP2A phosphatase activity, dysregulating PI3K-PKB/Akt-mTOR pathway",human tissue,,25012485,25012485:abstract_only
CPA4,NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,0,1,YAP-TEAD-driven transcriptional effector sustaining NF2-deficient meningioma,human tissue;mouse model,,42620117,42620117:abstract_only
CRB3,Not specified,Gastrointestinal stromal tumor (GIST),driver,1,abstract only,0,0,0,0,1,Regulates apical junctional complex assembly and epithelial barrier function via RhoA/ROCK-II/myosin II signaling,mouse model,,41122968,41122968:abstract_only
CREB,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,CBP inhibitor ICG-001 suppresses NF2-mutant meningioma growth via G1 arrest,cell line,,32642722,32642722:full_text
CRL4-DCAF1,NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,1,0,"E3 ubiquitin ligase activity upregulated in Merlin-deficient tumours, drives growth",human tissue,,32629964,32629964:full_text
CSF1,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,M-CSF expression correlates with VS growth and macrophage infiltration,human tissue,,36139588,36139588:abstract_only
CSF1R,NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,CSF1R inhibitor (PLX5622) reduces monocyte density and alleviates oligodendrocyte loss,mouse model,,42482124,42482124:abstract_only
CSF2,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,GM-CSF expression increases with higher VS volume,human tissue,,36139588,36139588:abstract_only
CSF2RA,NF1,Plexiform neurofibroma,modifier,1,abstract only,0,0,0,0,1,GM-CSFR-α signaling; loss had no effect on neurofibroma,mouse model,,40075752,40075752:abstract_only
CSF2RB,NF1,Plexiform neurofibroma,modifier,1,abstract only,0,0,0,0,1,GM-CSFR-β signaling; genetic deletion reduced PNF number and immune infiltration,mouse model,,40075752,40075752:abstract_only
CXCL10,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Chemokine uniquely upregulated in NF1 mice that develop neurofibroma,mouse model,,30728335,30728335:abstract_only
CXCL10,Not specified,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,Elevated expression in mast cells; mediates pain and itch via CXCL10/CXCR3 axis,human tissue,,39979642,39979642:abstract_only
CXCL10,Not specified,Pain,driver,1,abstract only,0,0,0,0,1,Elevated expression in mast cells; mediates pain and itch via CXCL10/CXCR3 axis,human tissue,,39979642,39979642:abstract_only
CXCL10,Not specified,Sleep,driver,1,abstract only,0,0,0,0,1,Elevated expression in mast cells; mediates pain and itch via CXCL10/CXCR3 axis,human tissue,,39979642,39979642:abstract_only
CXCR3,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Global deletion prevented neurofibroma development; anti-Cxcr3 antibody reduced tumor numbers,mouse model,,30728335,30728335:abstract_only
CXCR3,Not specified,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,CXCL10/CXCR3 chemokine signaling pathway involved in pain and itch transmission,human tissue,,39979642,39979642:abstract_only
CXCR3,Not specified,Pain,driver,1,abstract only,0,0,0,0,1,CXCL10/CXCR3 chemokine signaling pathway involved in pain and itch transmission,human tissue,,39979642,39979642:abstract_only
CXCR3,Not specified,Sleep,driver,1,abstract only,0,0,0,0,1,CXCL10/CXCR3 chemokine signaling pathway involved in pain and itch transmission,human tissue,,39979642,39979642:abstract_only
Calcium signaling,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
Calcium signaling,NF1,Sleep,driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
Cholesterol biosynthesis,NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,Dietary cholesterol supplementation restores oligodendrocyte numbers after carboplatin,mouse model,,42482124,42482124:abstract_only
DBN1,Not specified,Other,therapeutic target,1,abstract only,0,0,0,0,1,Actin-binding protein that disrupts NF2-LATS complex; inhibition restores NF2-LATS binding,mouse model,,39325963,39325963:abstract_only
DCN,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,PN-specific expression in Schwann cell populations post-Nf1 loss,mouse model,,36134665,36134665:abstract_only
DLK1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Overexpression associated with embryonic signature reactivation and immunosuppression,human tissue,,40063513,40063513:abstract_only
DLX5,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Key regulator of neural crest phenotype; enhancer blockade suppresses tumor,mouse model,,34283254,34283254:abstract_only
DMT1,Not specified,Other,driver,1,abstract only,0,0,0,1,0,YAP activation increases intracellular iron level via DMT1 upregulation,cell line,,37080959,37080959:full_text
DPYSL2,NF1,Pain,therapeutic target,1,abstract only,0,0,0,1,0,Inhibition of CRMP2 phosphorylation suppresses CaV2.2 activity in NF1,mouse model,,31246731,31246731:full_text
DUSP1,Not specified,Hematologic malignancies,modifier,1,abstract only,0,0,0,0,1,Reduced H3K36me3 at Dusp1 gene body hyperactivates ERK1/2 in Setd2/Kras co-mutant progenitors,mouse model,,40755378,40755378:abstract_only
EGFR,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Altered kinase activity in atypical meningioma,human tissue,,27158663,27158663:full_text
EGFR,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Erlotinib targets EGFR; failed in phase II clinical trial,clinical trial,,37677047,37677047:abstract_only
EGFR,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,EGFR knockdown and inhibition rescue EMT disrupted by PTPRS loss,cell line,,39094827,39094827:abstract_only
EGFR,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Lapatinib (EGFR/HER2 inhibitor) reduced tumor growth in NF2-PNST models,mouse model,,28735458,28735458:abstract_only
EGFR,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Overexpressed in meningiomas; lapatinib inhibitor shows growth-inhibitory effects,clinical trial,,29948766,29948766:abstract_only
EGFR,SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,EGFR signaling drives schwannoma growth and enables escape from anti-IL-6 treatment; combined blockade controls tumor and pain.,mouse model,,41758723,41758723:abstract_only
EGFR,SWN,Pain,therapeutic target,1,abstract only,0,0,0,0,1,EGFR signaling drives schwannoma growth and enables escape from anti-IL-6 treatment; combined blockade controls tumor and pain.,mouse model,,41758723,41758723:abstract_only
ELAVL1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Genetic and pharmacological inhibition suppresses tumor growth and metastasis,human tissue,,32315290,32315290:abstract_only
EPH receptors,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,EPH RTK activation independent of mTORC1/2; receptor-mediated signaling,cell line,,32144278,32144278:full_text
EPHA2,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Inhibited by brigatinib; promotes tumor growth in NF2-deficient cells,mouse model,,34264955,34264955:full_text
EPHB1,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,EPH RTK activation upon NF2 loss; blocked by dasatinib,cell line,,29982664,29982664:abstract_only
ERBB2,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Lapatinib inhibits ErbB2 phosphorylation and downstream signaling,cell line,,20511180,20511180:abstract_only
ERBB2,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Overexpressed in meningiomas; lapatinib inhibitor shows growth-inhibitory effects,clinical trial,,29948766,29948766:abstract_only
EVI2B,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,Embedded in NF1 intron 27b; putative transmembrane protein; direct target of C/EBPα,human tissue,,37584733,37584733:abstract_only
EVI2B,NF1,Hematologic malignancies,modifier,1,abstract only,0,0,0,0,1,Embedded in NF1 intron 27b; putative transmembrane protein; direct target of C/EBPα,human tissue,,37584733,37584733:abstract_only
EVI2B,NF1,Plexiform neurofibroma,modifier,1,abstract only,0,0,0,0,1,Embedded in NF1 intron 27b; putative transmembrane protein; direct target of C/EBPα,human tissue,,37584733,37584733:abstract_only
EZH2,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,Upregulation of PRC2 component; increased H3K27me3 modifications during tumorigenesis,mouse model,,31431463,31431463:abstract_only
FAIM2,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,miR-612 targets FAIM2 to regulate cellular activities in NF1,cell line,,31197610,31197610:abstract_only
FAK1,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,Inhibited by brigatinib; promotes tumor growth in NF2-deficient cells,mouse model,,34264955,34264955:full_text
FAK1,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Inhibited by brigatinib; promotes tumor growth in NF2-deficient cells,mouse model,,34264955,34264955:full_text
FER,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,Inhibited by brigatinib; promotes tumor growth in NF2-deficient cells,mouse model,,34264955,34264955:full_text
FER,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Inhibited by brigatinib; promotes tumor growth in NF2-deficient cells,mouse model,,34264955,34264955:full_text
FGF,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Deregulated FGF-FGFR signaling in NF1 Schwann cell populations,mouse model,,36134665,36134665:abstract_only
FGFR,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Deregulated FGF-FGFR signaling in NF1 Schwann cell populations,mouse model,,36134665,36134665:abstract_only
FGFR1,Not specified,Non-optic LGG,driver,1,abstract only,0,0,0,0,1,Mutations and gene fusions in MAPK-altered gliomas,human tissue,,38195220,38195220:abstract_only
FGFRS,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Dovitinib suppresses FGFR signaling; blocks RAS-RAF-MAPK and PI3K-AKT,cell line,,32441531,32441531:abstract_only
FLT1,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,VEGF receptor 1; mediates angiogenic and inflammatory signaling in VS,human tissue,,32470937,32470937:abstract_only
FOXM1,NF2-SWN,Meningioma,modifier,1,abstract only,0,0,0,1,0,ICG-001 inhibits proliferation partly through attenuating FOXM1-mediated Wnt/β-catenin signaling,cell line,,32642722,32642722:full_text
FZD8,Not specified,High grade glioma,modifier,1,abstract only,0,0,0,0,1,Cancer- and stem cell reprogramming-related gene; silenced via EZH2-mediated H3K27me3,mouse model,,31431463,31431463:abstract_only
G6PD,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Synthetic-lethal partner of NF2; inhibition selectively kills NF2-mutant Schwann cells via NADPH/redox depletion,cell line,,38879607,38879607:abstract_only
GDNF,NF1,Other,therapeutic target,1,abstract only,0,0,0,1,0,PRC2 represses GDNF; activation accompanies loss of H3K27 methylation during nerve repair,mouse model,,30306639,30306639:full_text
GFRA1,NF1,Pain,driver,1,abstract only,0,0,0,0,1,"GDNF activates GFRα1 on high-threshold mechanoreceptors and C-fibers, mediating mechanical hypersensitivity",mouse model,,42189937,42189937:abstract_only
GHSR,NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,GHS-R overexpressed in neurofibromas; expression correlates with tumor volume,human tissue,,29262839,29262839:abstract_only
GPX4,Not specified,Other,therapeutic target,1,abstract only,0,0,0,1,0,Central regulator of ferroptosis; inhibition triggers ferroptotic cell death,review,,31341276,31341276:full_text
H3F3A,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,K27M mutation in brainstem and cerebellar diffuse gliomas,human tissue,,33606385,33606385:abstract_only
HDAC,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,"Fimepinostat, a dual HDAC/PI3K inhibitor, induces p21-dependent cell cycle arrest and caspase-3 apoptosis in schwannoma cells.",cell line,,41898501,41898501:abstract_only
HDAC,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,"Fimepinostat, a dual HDAC/PI3K inhibitor, induces p21-dependent cell cycle arrest and caspase-3 apoptosis in schwannoma cells.",cell line,,41898501,41898501:abstract_only
HDAC2,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Histone deacetylase inhibition reduces VS cell viability,cell line;human tissue,,35761463,35761463:abstract_only
HERC4,Not specified,Other,driver,1,abstract only,0,0,0,1,0,E3 ligase that mediates APAF1 degradation,cell line,,41364765,41364765:full_text
HGF,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,HGF regulates EMT in malignant meningioma cells,cell line,,34408780,34408780:full_text
HIF-1α,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,1,0,HIF-1α signaling pathway activation promotes mitochondrial respiratory impairment in MPNST,cell line,,38203448,38203448:full_text
HIF1A,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Induced by KLF4 mutation through reduced prolyl hydroxylase activity,cell line,,32245394,32245394:full_text
HIF1A,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,HIF-1α inhibition abrogates MPNST cell growth and induces apoptosis,cell line,,28558056,28558056:abstract_only
HMGB1,SWN,Pain,driver,1,abstract only,0,0,0,0,1,Schwannoma-derived HMGB1 participates in crosstalk with neurons and macrophages driving pain.,mouse model,,41758723,41758723:abstract_only
HRAS,NF1,Other,driver,1,abstract only,0,0,0,1,0,RAS effector activated downstream of NF1 loss; context-dependent functional outcomes,review,,27269372,27269372:full_text
HRAS,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Ras binding pocket on Gal-1 targeted to block Ras membrane localization and downstream Erk signaling,mouse model,,39483902,39483902:abstract_only
HYALURONAN,NF2-SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Low molecular weight HA in CSF promotes schwannoma tumorigenesis via CD44,human tissue,,30145722,30145722:abstract_only
IAPS,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Inhibitors of apoptosis proteins upregulation,review,,24470531,24470531:abstract_only
IDH1,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,IDH1-R132H mutation in adult posterior fossa diffuse gliomas,human tissue,,33606385,33606385:abstract_only
IDH1,NF1,Other,therapeutic target,1,abstract only,0,0,0,0,1,"IDH1 mutation identified in cholangiocarcinoma tissue, providing a potential therapeutic target for personalized therapy",human tissue,,41589090,41589090:abstract_only
IFI44,Not specified,High grade glioma,biomarker,1,abstract only,0,0,0,1,0,Immune microenvironment remodeling and tumor cell aggressiveness promotion,cell line,,41327009,41327009:full_text
IGF1,NF1,Optic pathway glioma,biomarker,1,abstract only,0,0,0,0,1,"Elevated IGF-1 concentrations in suprasellar LGG, associated with NF1 mutation status",human tissue,,40400261,40400261:abstract_only
IL6,SWN,Pain,therapeutic target,1,abstract only,0,0,0,0,1,"Macrophages infiltrating DRG overproduce IL-6, causing pain; anti-IL-6 antibody reduced pain in models.",mouse model,,41758723,41758723:abstract_only
IRF3,NF2-SWN,Vestibular schwannoma,modifier,1,abstract only,0,0,0,0,1,Mutant NF2 associates with IRF3 to form condensates blocking TBK1 activation,human tissue,,34453890,34453890:abstract_only
JAK/STAT,Not specified,Hematologic malignancies,therapeutic target,1,abstract only,0,0,0,0,1,Combined JAK/STAT inhibition with MEK abrogates myeloproliferative neoplasm,mouse model,,24812670,24812670:abstract_only
KDM2B,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Chromatin regulator; missense mutation identified in MPNST,human tissue,,28124441,28124441:abstract_only
KIAA1549,Not specified,Non-optic LGG,therapeutic target,1,abstract only,0,0,0,0,1,BRAF-KIAA1549 fusion drives low-grade glioma; targeted by MEK inhibition,clinical trial,,40241281,40241281:abstract_only
KIAA1549::BRAF,Not specified,Non-optic LGG,driver,1,abstract only,0,0,0,0,1,Gene fusion in cerebellar paediatric low-grade gliomas,human tissue,,38195220,38195220:abstract_only
KIF18A,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Downregulation disrupts microtubule organization and chromosome segregation,cell line,,35261809,35261809:abstract_only
KIT,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,c-KIT activation independent of mTORC1/2,cell line,,32144278,32144278:full_text
KIT,NF1,Cutaneous neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Imatinib mesylate inhibition of KIT signaling,human tissue,,33235741,33235741:abstract_only
KIT,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,c-kit expressing mast cells; targeted inhibition successful in medical treatment,mouse model,,22821631,22821631:abstract_only
KIT,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Nilotinib (ABL1/KIT/PDGFRA inhibitor) reduced tumor growth in NF2-PNST models,mouse model,,28735458,28735458:abstract_only
KIT,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,c-KIT activation upon NF2 loss; blocked by dasatinib,cell line,,29982664,29982664:abstract_only
KITLG,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Stem cell factor secreted by tumorigenic Schwann cells recruits c-kit expressing mast cells,mouse model,,22821631,22821631:abstract_only
KLF4,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,K409Q mutation triggers hypoxia pathway upregulation via HIF-1α,human tissue,,32245394,32245394:full_text
KMT2C,Not specified,Meningioma,driver,1,abstract only,0,0,0,0,1,"Loss of KMT2C promotes proliferation, invasion, and ferroptosis sensitivity in NF2-wild-type meningioma cells",cell line,,41642951,41642951:abstract_only
KRAS,NF1,Gastrointestinal stromal tumor (GIST),modifier,1,abstract only,0,0,0,0,1,Mutations in RAS signaling pathway in wild-type GISTs,human tissue,,29441367,29441367:abstract_only
KRAS,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,RAS activity elevated due to NF1 loss of function,review,,37328781,37328781:abstract_only
KRAS,Not specified,Hematologic malignancies,driver,1,abstract only,0,0,0,0,1,"KrasG12D mutation activates RAS/ERK signalling, driving JMML onset and progression",mouse model,,40755378,40755378:abstract_only
KSR1,NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,1,0,"Raf/MEK/ERK scaffold protein upregulated in Merlin-deficient tumours, drives growth",human tissue,,32629964,32629964:full_text
KYNU,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,KYNU-driven tryptophan metabolism in macrophages promotes immunosuppression and fibroblast-mediated stromal remodeling in MPNST,human tissue,,41930352,41930352:abstract_only
LAG3,Not specified,High grade glioma,biomarker,1,abstract only,0,0,0,1,0,Checkpoint expression enriched in IFI44-high gliomas,computational,,41327009,41327009:full_text
LATS1/2,Not specified,Other,modifier,1,abstract only,0,0,0,0,1,Large tumor suppressor kinases activated by NF2; compete with DBN1 for NF2 binding,mouse model,,39325963,39325963:abstract_only
LATS1/2,Not specified,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,"Merlin-induced protein-protein interaction, activating Hippo signaling",mouse model,,40055528,40055528:abstract_only
LGALS1,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,"Gal-1/Ras interaction disruption delocalizes Ras from plasma membrane, suppressing Ras/Erk signaling",mouse model,,39483902,39483902:abstract_only
LZTR1,Not specified,Other,driver,1,abstract only,0,0,0,0,1,Regulator of RAS ubiquitination and MAPK pathway activation,cell line,,30442766,30442766:abstract_only
LZTR1,SWN,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,Loss is key driver of nerve sheath neoplasms,review,,33588442,33588442:abstract_only
LZTR1,SWN,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,Loss-of-function; failure to downregulate MAPK signaling,human tissue,,39140257,39140257:abstract_only
LZTR1,Not specified,Non-vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary cranial schwannoma,human tissue,,28759666,28759666:abstract_only
LZTR1,Not specified,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Constitutive mutation predisposes to solitary cranial schwannoma,human tissue,,28759666,28759666:abstract_only
MAP kinase pathway,Not specified,Other,driver,1,abstract only,0,0,0,0,1,Recurrent mutations of MAP kinase pathway described in ECD,human tissue,,26637774,26637774:abstract_only
MAP2K1/2 (MEK1/2),Not specified,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,MEK inhibition for symptomatic optic nerve gliomas,review,,34406460,34406460:abstract_only
MAP2K1/2 (MEK1/2),NF1,Hematologic malignancies,therapeutic target,1,abstract only,0,0,0,0,1,Blocks RAS pathway downstream targets,review,,35788692,35788692:abstract_only
MAP2K1/2 (MEK1/2),NF2-SWN,Ependymoma,therapeutic target,1,abstract only,0,0,0,1,0,Selumetinib (MEK1/2 inhibitor) induced partial response in ependymoma,clinical trial,,38058737,38058737:full_text
MAP2K1/2 (MEK1/2),NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Selumetinib (MEK1/2 inhibitor) induced partial response in ependymoma,clinical trial,,38058737,38058737:full_text
MAP2K1/2 (MEK1/2),NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,1,0,Selumetinib (MEK1/2 inhibitor) induced partial response in ependymoma,clinical trial,,38058737,38058737:full_text
MAP2K1/2 (MEK1/2),NF1,Gastrointestinal stromal tumor (GIST),therapeutic target,1,abstract only,0,0,0,0,1,MEK inhibitors may provide additional treatment strategy for NF1-associated GISTs,review,,35282706,35282706:abstract_only
MAP2K1/2 (MEK1/2),Not specified,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,MAPK pathway inhibition via selumetinib,clinical trial,,35363510,35363510:abstract_only
MAPK pathway,NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,Ras/MAPK pathway involved in NF1 tumor development,review,,20043723,20043723:abstract_only
MAPK pathway,NF1,Optic pathway glioma,driver,1,abstract only,0,0,0,0,1,Ras/MAPK pathway involved in NF1 tumor development,review,,20043723,20043723:abstract_only
MAPK pathway,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Ras/MAPK pathway involved in NF1 tumor development,review,,20043723,20043723:abstract_only
MAPK pathway,NF1,Non-optic LGG,driver,1,abstract only,0,0,0,1,0,Aberrant signaling in pediatric low-grade glioma,clinical trial,,33026636,33026636:full_text
MAPK pathway,NF1,Cardiovascular issues,driver,1,abstract only,0,0,0,0,1,RAS-MAPK pathway mutations cause developmental disease and cardiovascular defects,review,,35156148,35156148:abstract_only
MAPK pathway,NF1,Sleep,driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
MAPK pathway,NF1,Other,driver,1,abstract only,0,0,0,1,0,Ras/MAPK pathway dysregulation affects embryonic and later developmental stages,review,,23875798,23875798:full_text
MAPK pathway,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,Driver mutations in MAPK pathway; upregulation of MAPK/TSC1/mTOR pathway,human tissue,,31258848,31258848:abstract_only
MAPK1/3,NF1,Pain,therapeutic target,1,abstract only,0,0,0,0,1,MAPK inhibitors reduced pain-like behavior and GDNF mRNA/protein expression in Schwann cells,mouse model,,42189937,42189937:abstract_only
MAPK1/3 (ERK1/2),NF2-SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Downstream signaling activated in response to RTK activation,human tissue,,20511180,20511180:abstract_only
MAPK1/3 (ERK1/2),Not specified,Bone defects,driver,1,abstract only,0,0,0,0,1,Erk1/2 signaling downstream of Nf2-FAK axis regulates osteogenesis,mouse model,,40075076,40075076:abstract_only
MAPK1/3 (ERK1/2),NF1,Cognition / Behavioral / Learning,driver,1,abstract only,0,0,0,0,1,Phosphorylated ERK1/2 elevated downstream of hyperactive Ras,mouse model,,29925695,29925695:abstract_only
MAPK1/3 (ERK1/2),NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,Phosphorylated ERK1/2 elevated downstream of hyperactive Ras,mouse model,,29925695,29925695:abstract_only
MAPK1/3 (ERK1/2),NF1,Pain,driver,1,abstract only,0,0,0,0,1,Phosphorylated ERK1/2 elevated downstream of hyperactive Ras,mouse model,,29925695,29925695:abstract_only
